img_idx,img_name,face_detected,confidence,bbox_x,bbox_y,bbox_w,bbox_h,left_eye_x,left_eye_y,right_eye_x,right_eye_y,nose_x,nose_y,mouth_l_x,mouth_l_y,mouth_r_x,mouth_r_y,ipd_before,tilt_before,ipd_after,tilt_after,is_duplicate,error
0,0.jpg,True,1.0,0,0,112,112,39.910953521728516,48.33694076538086,73.36234283447266,48.890724182128906,55.998138427734375,72.20954895019531,42.99755096435547,89.28336334228516,70.0947494506836,89.08294677734375,33.455975,0.9484376,34.024673,0.26676008,False,
1,1.jpg,True,1.0,0,0,112,112,40.93628692626953,49.130828857421875,71.25746154785156,48.807228088378906,52.18433380126953,66.93722534179688,42.442222595214844,84.29712677001953,68.24658966064453,84.45061492919922,30.322903,-0.61146224,33.84164,-2.378856,False,
2,2.jpg,True,1.0,0,0,112,112,40.390907287597656,49.587032318115234,74.41864776611328,48.571590423583984,54.81690979003906,72.06084442138672,44.66722106933594,89.11497497558594,72.19097137451172,88.27701568603516,34.04289,-1.7092899,34.916424,0.2808234,False,
3,3.jpg,True,1.0,0,0,112,112,38.89542007446289,48.157447814941406,73.34518432617188,49.52461242675781,58.310821533203125,71.11935424804688,41.62743377685547,89.87537384033203,69.17105102539062,89.9483642578125,34.476883,2.272633,34.421238,1.5316073,False,
4,4.jpg,True,1.0,0,0,112,112,39.80873107910156,48.91815948486328,73.36489868164062,48.34732437133789,57.32181930541992,69.80744171142578,42.41080093383789,87.94328308105469,70.0063247680664,87.52857208251953,33.56102,-0.9745835,33.932026,-1.2884505,False,
5,5.jpg,True,1.0,0,0,112,112,36.95450973510742,47.912715911865234,70.37089538574219,48.16357421875,60.955257415771484,72.37834167480469,39.74689483642578,89.2042007446289,67.2109603881836,89.85147857666016,33.417328,0.43011388,32.42489,-0.94545126,False,
6,6.jpg,True,1.0,0,0,112,112,37.750633239746094,49.8856086730957,73.57987976074219,51.1932373046875,55.916587829589844,74.72723388671875,39.69108963012695,90.5567398071289,72.25309753417969,90.06938934326172,35.8531,2.0901463,35.645863,1.7301211,False,
7,7.jpg,True,1.0,0,0,112,112,38.08380126953125,48.62574768066406,73.14900970458984,49.927589416503906,57.221248626708984,67.03337097167969,40.33115768432617,90.90022277832031,73.12532043457031,90.20790100097656,35.089367,2.126204,34.296524,1.7656882,False,
8,8.jpg,True,1.0,0,0,112,112,38.58353042602539,49.31330108642578,72.73338317871094,50.44894027709961,57.733551025390625,66.84608459472656,41.2055778503418,88.8396987915039,71.95242309570312,88.84423828125,34.168728,1.9046453,34.57037,2.1595628,False,
9,9.jpg,True,1.0,0,0,112,112,39.75947952270508,50.637901306152344,72.62418365478516,52.46346664428711,51.32362365722656,75.58689880371094,39.91157150268555,85.31488800048828,76.23280334472656,86.83238983154297,32.915367,3.1793926,34.37673,2.7262812,False,
